Vehicle_ID,Frame_ID,Local_X,Local_Y,Speed_X,Speed_Y,V_Length,V_Width,V_Heading,Lane_ID,Scenario,Lane_Change_Frame,Source_La,Target_La,Changing_Time_Offs,SL_Leading_ID,SL_Leading_Local_X,SL_Leading_Local_Y,SL_Leading_Speed_X,SL_Leading_Speed_Y,SL_Following_ID,SL_Following_Local_X,SL_Following_Local_Y,SL_Following_Speed_X,SL_Following_Speed_Y,TL_Leading_ID,TL_Leading_Local_X,TL_Leading_Local_Y,TL_Leading_Speed_X,TL_Leading_Speed_Y,TL_Following_ID,TL_Following_Local_X,TL_Following_Local_Y,TL_Following_Speed_X,TL_Following_Speed_Y,PET,TTC,MTTC,FL_TTC,Vehicle_ID_Event,Event_Index,Start_Frame,End_Frame,From_Lane,To_Lane,Lane_Path,Window_Start_Frame,Window_End_Frame
27,67,3623.9,22.538999999999998,3.7143,-1.2143,5.2,2.1,-17.383,2,2,73,2,1,-0.6,,,,,,,,,,,43.0,3758.9,17.654,4.3571,-1.8571,,,,,,10.0,10.0,10.0,10.0,27,1,66,73,2,1,2->1,23,123
27,68,3627.6,22.418,3.6429,-1.1786,5.2,2.1,-17.581,2,2,73,2,1,-0.5,,,,,,,,,,,43.0,3763.3,17.468,4.3929,-1.7857,,,,,,10.0,10.0,10.0,10.0,27,1,66,73,2,1,2->1,23,123
27,69,3631.2,22.3,3.7857,-1.1429,5.2,2.1,-17.745,2,2,73,2,1,-0.4,,,,,,,,,,,43.0,3767.7,17.288999999999998,4.3214,-1.7857,,,,,,10.0,10.0,10.0,10.0,27,1,66,73,2,1,2->1,23,123
27,70,3635.0,22.186,3.8214,-1.25,5.2,2.1,-18.09,2,2,73,2,1,-0.3,,,,,,,,,,,43.0,3772.0,17.111,4.3214,-1.8571,,,,,,10.0,10.0,10.0,10.0,27,1,66,73,2,1,2->1,23,123
27,71,3638.8,22.061,3.9286,-1.2143,5.2,2.1,-16.699,2,2,73,2,1,-0.2,,,,,,,,,,,43.0,3776.3,16.925,4.3929,-1.9643,,,,,,10.0,10.0,10.0,10.0,27,1,66,73,2,1,2->1,23,123
27,72,3642.7,21.939,3.9643,-1.2143,5.2,2.1,-18.778,2,2,73,2,1,-0.1,,,,,,,,,,,43.0,3780.7,16.729,4.2857,-1.8571,,,,,,10.0,10.0,10.0,10.0,27,1,66,73,2,1,2->1,23,123
27,73,3646.7,21.818,4.0357,-1.25,5.2,2.1,-16.86,1,2,73,2,1,0.0,,,,,,,,,,,43.0,3785.0,16.543,4.3571,-1.8214,,,,,,10.0,10.0,10.0,10.0,27,1,66,73,2,1,2->1,23,123
27,74,3650.7,21.693,3.9643,-1.25,5.2,2.1,-17.745,1,2,73,2,1,0.1,,,,,,,,,,,43.0,3789.4,16.361,4.1429,-1.75,,,,,,10.0,10.0,10.0,10.0,27,1,66,73,2,1,2->1,23,123
27,75,3654.7,21.568,4.2143,-1.3571,5.2,2.1,-16.544,1,2,73,2,1,0.2,,,,,,,,,,,43.0,3793.5,16.186,4.2857,-1.9286,,,,,,10.0,10.0,10.0,10.0,27,1,66,73,2,1,2->1,23,123
27,76,3658.9,21.432,4.2143,-1.2857,5.2,2.1,-17.914,1,2,73,2,1,0.3,,,,,,,,,,,43.0,3797.8,15.993,4.1429,-1.8571,,,,,,10.0,10.0,10.0,10.0,27,1,66,73,2,1,2->1,23,123
27,77,3663.1,21.304,4.2143,-1.3571,5.2,2.1,-18.083,1,2,73,2,1,0.4,,,,,,,,,,,43.0,3801.9,15.806999999999999,4.25,-1.7857,,,,,,10.0,10.0,10.0,10.0,27,1,66,73,2,1,2->1,23,123
