Vehicle_ID,Frame_ID,Local_X_RT,Local_Y_RT,Local_X_RB,Local_Y_RB,Local_X_LB,Local_Y_LB,Local_X_LT,Local_Y_LT,Local_X,Local_Y,V_Class,V_Direction,Speed_X,Speed_Y,V_Length,V_Width,V_Heading,Lane_ID,Event_Index,Vehicle_ID_Event,Start_Frame,End_Frame,Lane_Change_Frame,From_Lane,To_Lane,Lane_Path,Window_Start_Frame,Window_End_Frame,Time_Offset
1132,8637,151,407,152,387,96,386,96,406,123.64,396.14,1,1,20.571,-0.14286,5.0,1.9,1.0323,1,1,1132,8643,8711,8656,1,2,1->2,8606,8706,-1.9
1132,8638,172,407,172,386,116,386,116,407,144.21,396.0,1,1,20.643,-0.14286,5.0,1.9,0.0,1,1,1132,8643,8711,8656,1,2,1->2,8606,8706,-1.8
1132,8639,193,406,193,386,138,385,138,406,164.86,395.86,1,1,20.643,-0.25,5.0,1.9,0.52081,1,1,1132,8643,8711,8656,1,2,1->2,8606,8706,-1.7
1132,8640,214,406,214,385,158,385,158,406,185.5,395.61,1,1,20.464,-0.39286,5.0,1.9,0.0,1,1,1132,8643,8711,8656,1,2,1->2,8606,8706,-1.6
1132,8641,233,406,233,385,178,385,178,406,205.96,395.21,1,1,20.571,-0.35714,5.0,1.9,0.0,1,1,1132,8643,8711,8656,1,2,1->2,8606,8706,-1.5
1132,8642,254,406,254,385,200,384,199,405,226.54,394.86,1,1,20.393,-0.39286,5.0,1.9,1.0513,1,1,1132,8643,8711,8656,1,2,1->2,8606,8706,-1.4
1132,8643,275,405,275,384,219,384,219,405,246.93,394.46,1,1,20.286,-0.28571,5.0,1.9,0.0,1,1,1132,8643,8711,8656,1,2,1->2,8606,8706,-1.3
1132,8644,294,404,294,384,240,383,240,404,267.21,394.18,1,1,20.464,-0.42857,5.0,1.9,0.53046,1,1,1132,8643,8711,8656,1,2,1->2,8606,8706,-1.2
1132,8645,316,405,316,384,260,383,260,404,287.68,393.75,1,1,20.179,-0.57143,5.0,1.9,1.023,1,1,1132,8643,8711,8656,1,2,1->2,8606,8706,-1.1
1132,8646,336,403,336,382,280,383,281,404,307.86,393.18,1,1,20.214,-0.64286,5.0,1.9,-1.0323,1,1,1132,8643,8711,8656,1,2,1->2,8606,8706,-1.0
1132,8647,355,404,355,383,301,383,301,404,328.07,392.54,1,1,20.107,-0.67857,5.0,1.9,0.0,1,1,1132,8643,8711,8656,1,2,1->2,8606,8706,-0.9
1132,8648,376,403,375,382,322,382,322,403,348.18,391.86,1,1,20.0,-0.92857,5.0,1.9,0.0,1,1,1132,8643,8711,8656,1,2,1->2,8606,8706,-0.8
1132,8649,396,401,395,380,340,381,341,402,368.18,390.93,1,1,19.893,-0.89286,5.0,1.9,-1.0416,1,1,1132,8643,8711,8656,1,2,1->2,8606,8706,-0.7
1132,8650,416,400,415,379,361,380,362,401,388.07,390.04,1,1,19.964,-1.2143,5.0,1.9,-1.0609,1,1,1132,8643,8711,8656,1,2,1->2,8606,8706,-0.6
1132,8651,434,399,434,378,381,379,382,400,408.04,388.82,1,1,19.714,-1.2143,5.0,1.9,-1.0913,1,1,1132,8643,8711,8656,1,2,1->2,8606,8706,-0.5
1132,8652,455,397,454,376,401,378,402,399,427.75,387.61,1,1,19.714,-1.25,5.0,1.9,-2.1611,1,1,1132,8643,8711,8656,1,2,1->2,8606,8706,-0.4
1132,8653,474,397,474,375,421,377,421,398,447.46,386.36,1,1,19.536,-1.25,5.0,1.9,-1.621,1,1,1132,8643,8711,8656,1,2,1->2,8606,8706,-0.3
1132,8654,494,395,493,374,442,375,442,396,467.0,385.11,1,1,19.786,-1.25,5.0,1.9,-1.1125,1,1,1132,8643,8711,8656,1,2,1->2,8606,8706,-0.2
1132,8655,513,394,513,373,460,374,461,395,486.79,383.86,1,1,19.679,-1.2857,5.0,1.9,-1.0913,1,1,1132,8643,8711,8656,1,2,1->2,8606,8706,-0.1
1132,8656,533,392,532,371,479,372,480,394,506.46,382.57,1,1,19.786,-1.3571,5.0,1.9,-1.621,2,1,1132,8643,8711,8656,1,2,1->2,8606,8706,0.0
1132,8657,552,391,551,370,499,372,499,392,526.25,381.21,1,1,19.821,-1.2143,5.0,1.9,-1.6418,2,1,1132,8643,8711,8656,1,2,1->2,8606,8706,0.1
1132,8658,573,390,572,369,520,371,520,391,546.07,380.0,1,1,19.964,-1.2857,5.0,1.9,-1.6418,2,1,1132,8643,8711,8656,1,2,1->2,8606,8706,0.2
1132,8659,592,388,591,367,540,369,540,390,566.04,378.71,1,1,20.107,-1.1071,5.0,1.9,-2.2242,2,1,1132,8643,8711,8656,1,2,1->2,8606,8706,0.3
1132,8660,612,387,612,366,560,368,560,388,586.14,377.61,1,1,20.286,-1.1786,5.0,1.9,-1.6522,2,1,1132,8643,8711,8656,1,2,1->2,8606,8706,0.4
1132,8661,633,386,632,365,580,367,581,388,606.43,376.43,1,1,20.179,-1.1429,5.0,1.9,-2.2026,2,1,1132,8643,8711,8656,1,2,1->2,8606,8706,0.5
1132,8662,652,385,652,364,601,365,601,386,626.61,375.29,1,1,20.429,-1.0,5.0,1.9,-1.1233,2,1,1132,8643,8711,8656,1,2,1->2,8606,8706,0.6
1132,8663,673,385,672,364,621,364,621,385,647.04,374.29,1,1,20.5,-0.85714,5.0,1.9,0.0,2,1,1132,8643,8711,8656,1,2,1->2,8606,8706,0.7
1132,8664,693,383,693,362,641,363,642,384,667.54,373.43,1,1,20.571,-0.92857,5.0,1.9,-1.1125,2,1,1132,8643,8711,8656,1,2,1->2,8606,8706,0.8
1132,8665,713,382,713,362,662,362,662,383,688.11,372.5,1,1,20.714,-0.85714,5.0,1.9,-0.56165,2,1,1132,8643,8711,8656,1,2,1->2,8606,8706,0.9
1132,8666,734,381,734,361,683,362,684,382,708.82,371.64,1,1,20.893,-0.82143,5.0,1.9,-1.1345,2,1,1132,8643,8711,8656,1,2,1->2,8606,8706,1.0
1132,8667,755,381,755,361,704,361,704,382,729.71,370.82,1,1,20.964,-0.60714,5.0,1.9,-0.56165,2,1,1132,8643,8711,8656,1,2,1->2,8606,8706,1.1
1132,8668,776,380,776,359,725,360,725,381,750.68,370.21,1,1,21.071,-0.60714,5.0,1.9,-1.1233,2,1,1132,8643,8711,8656,1,2,1->2,8606,8706,1.2
1132,8669,797,379,797,359,746,359,746,379,771.75,369.61,1,1,21.179,-0.57143,5.0,1.9,0.0,2,1,1132,8643,8711,8656,1,2,1->2,8606,8706,1.3
1132,8670,818,379,818,358,768,359,768,379,792.93,369.04,1,1,21.429,-0.53571,5.0,1.9,-0.57288,2,1,1132,8643,8711,8656,1,2,1->2,8606,8706,1.4
